Province,Date,Total Sale accumulate(100 million yuan),,Building Type
Jiangsu,2022/08,8034.01,1005.8,Commercialized Residential Buildings Sold
Jiangsu,2022/07,7028.21,984.66,Commercialized Residential Buildings Sold
Jiangsu,2022/06,6043.55,1688.18,Commercialized Residential Buildings Sold
Jiangsu,2022/05,4355.37,1004.3,Commercialized Residential Buildings Sold
Jiangsu,2022/04,3351.07,722.4,Commercialized Residential Buildings Sold
Jiangsu,2022/03,2628.67,1171.97,Commercialized Residential Buildings Sold
Jiangsu,2022/02,1456.7,1456.7,Commercialized Residential Buildings Sold
Jiangsu,2022/01,0,,Commercialized Residential Buildings Sold
Jiangsu,2021/12,19626.09,1978.31,Commercialized Residential Buildings Sold
Jiangsu,2021/11,17647.78,1286.17,Commercialized Residential Buildings Sold
Jiangsu,2021/10,16361.61,1146.85,Commercialized Residential Buildings Sold
Jiangsu,2021/09,15214.76,1596.27,Commercialized Residential Buildings Sold
Jiangsu,2021/08,13618.49,1164.13,Commercialized Residential Buildings Sold
Jiangsu,2021/07,12454.36,1495.7,Commercialized Residential Buildings Sold
Jiangsu,2021/06,10958.66,2551.58,Commercialized Residential Buildings Sold
Jiangsu,2021/05,8407.08,2149.85,Commercialized Residential Buildings Sold
Jiangsu,2021/04,6257.23,1899.73,Commercialized Residential Buildings Sold
Jiangsu,2021/03,4357.5,2071.27,Commercialized Residential Buildings Sold
Jiangsu,2021/02,2286.23,2286.23,Commercialized Residential Buildings Sold
Jiangsu,2021/01,0,,Commercialized Residential Buildings Sold
Jiangsu,2020/12,18027.33,2345.71,Commercialized Residential Buildings Sold
Jiangsu,2020/11,15681.62,1574.27,Commercialized Residential Buildings Sold
Jiangsu,2020/10,14107.35,1547.34,Commercialized Residential Buildings Sold
Jiangsu,2020/09,12560.01,1771.36,Commercialized Residential Buildings Sold
Jiangsu,2020/08,10788.65,1638.58,Commercialized Residential Buildings Sold
Jiangsu,2020/07,9150.07,1536.73,Commercialized Residential Buildings Sold
Jiangsu,2020/06,7613.34,2221.96,Commercialized Residential Buildings Sold
Jiangsu,2020/05,5391.38,1637.85,Commercialized Residential Buildings Sold
Jiangsu,2020/04,3753.53,1293.89,Commercialized Residential Buildings Sold
Jiangsu,2020/03,2459.64,1463.66,Commercialized Residential Buildings Sold
Jiangsu,2020/02,995.98,995.98,Commercialized Residential Buildings Sold
Jiangsu,2020/01,0,,Commercialized Residential Buildings Sold
